Titre du poste,Entreprise,Ville,Secteur,Contrat proposé,Niveau d'étude,Expérience,Compétences Techniques,Langues,Soft Skills,Lien de l'offre
SIDEN cherche 4 ingénieurs en génie mécanique,SIDEN,Jorf Lasfar,Construction,CDI,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Communication, Rigueur",https://www.dreamjob.ma/emploi/siden-cherche-4-ingenieurs-en-genie-mecanique/
L’Université Internationale de Casablanca recrute des Professeurs en Génie Mécanique,L’Université Internationale de Casablanca,Casablanca,Recherche scientifique,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,Innovation,https://www.dreamjob.ma/emploi/luniversite-internationale-de-casablanca-recrute-des-professeurs-en-genie-mecanique/
SIDEN Recrute: Ingénieurs en Construction Métallique et Génie Mécanique,SIDEN,Non spécifié,Construction,Non spécifié,Non spécifié,1 an,Non spécifié,Non specifié,"Créativité, Rigueur",https://www.dreamjob.ma/emploi/siden-recrute-ingenieurs-en-construction-metallique-et-genie-mecanique/
SCIF recrute des Ingénieurs Génie Mécanique,SCIF,Casablanca,Ferroviaire,Non spécifié,Non spécifié,Non spécifié,"CAO, Lean",Non specifié,"Communication, Gestion de projet, Résolution de problèmes",https://www.dreamjob.ma/emploi/scif-recrute-des-ingenieurs-genie-mecanique/
Capgemini Engineering recrute 30 techniciens en génie mécanique,Capgemini Engineering,Casablanca,"Automobile, Aéronautique, Ferroviaire, Plasturgie, Énergie",Non spécifié,Bac+2,50 ans,"CATIA, NX","Français, Anglais",Organisation,https://www.dreamjob.ma/emploi/capgemini-engineering-recrute-30-techniciens-en-genie-mecanique/
Chantiers et Ateliers du Maroc recrute des Techniciens en Génie Mécanique,Chantiers et Ateliers du Maroc,Casablanca,Naval,Non spécifié,Non spécifié,1 an,"Autocad, Ms project",Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/chantiers-et-ateliers-du-maroc-recrute-des-techniciens-en-genie-mecanique/
"CEC ouvre des postes en génie civil, mécanique et électrique",CEC,Non spécifié,"Construction, Minier",Non spécifié,Non spécifié,6 ans,Non spécifié,Non specifié,"Leadership, Rigueur",https://www.dreamjob.ma/emploi/cec-ouvre-des-postes-en-genie-civil-mecanique-et-electrique/
Dama recrute un Ingénieur en Maintenance et Assemblage Mécanique sur Casablanca,Dama,Casablanca,Non spécifié,CDI,Non spécifié,30 ans,Non spécifié,Anglais,Communication,https://www.dreamjob.ma/emploi/dama-recrute-un-ingenieur-en-maintenance-et-assemblage-mecanique-sur-casablanca/
Safran Recrute des Ingénieurs en Mécanique et Aéronautique F/H,Safran,Casablanca,"Automobile, Aéronautique",Stage,Non spécifié,Non spécifié,"ANSYS, Abaqus, Autocad, CATIA, ICEM, NASTRAN, Patran, SAMCEF, SAP, SOLIDWORKS",Non specifié,Communication,https://www.dreamjob.ma/emploi/safran-recrute-des-ingenieurs-en-mecanique-et-aeronautique-f-h/
Safran recherche activement des Ingénieurs Mécaniques et Aéronautiques,Non spécifié,Casablanca,"Automobile, Aéronautique",Stage,Non spécifié,Non spécifié,"ANSYS, Abaqus, Autocad, CATIA, ICEM, NASTRAN, Patran, SAMCEF, SAP, SOLIDWORKS",Non specifié,Communication,https://www.dreamjob.ma/emploi/safran-recherche-activement-des-ingenieurs-mecaniques-et-aeronautiques/
Capgemini Engineering recrute des Ingénieurs Juniors en Mécanique,Capgemini Engineering,Casablanca,"Automobile, Aéronautique, Ferroviaire, Énergie",Non spécifié,Non spécifié,50 ans,Non spécifié,Non specifié,Organisation,https://www.dreamjob.ma/emploi/capgemini-engineering-recrute-des-ingenieurs-mecaniques/
NTC recrute des Ingénieurs Conception Mécanique,NTC,Casablanca,Non spécifié,Non spécifié,Non spécifié,3 ans,Conception mécanique,Non specifié,"Communication, Polyvalence, Proactivité",https://www.dreamjob.ma/emploi/ntc-recrute-ingenieurs-conception-mecanique/
SEGULA Technologies recrute des Ingénieurs Mécaniques et Industriels Débutants,SEGULA Technologies,Kénitra,"Automobile, Aéronautique, Ferroviaire, Naval, Énergie",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Innovation, Travailler en équipe",https://www.dreamjob.ma/emploi/segula-technologies-recrute-des-ingenieurs-mecaniques-et-industriels/
Safran recrute des Ingénieurs Mécanique,Safran,Casablanca,"Automobile, Aéronautique",Stage,Non spécifié,Non spécifié,"ANSYS, Abaqus, Autocad, CATIA, ICEM, NASTRAN, Patran, SAMCEF, SAP, SOLIDWORKS",Non specifié,Communication,https://www.dreamjob.ma/emploi/safran-recrute-des-ingenieurs-mecanique/
Akkodis recrute des Ingénieurs Mécanique Juniors,Akkodis,Casablanca,Automobile,CDI,Bac+5,Non spécifié,Robotique,Anglais,"Autonomie, Communication, Initiative, Innovation, Rigueur",https://www.dreamjob.ma/emploi/akkodis-recrute-ingenieurs-mecanique/
Expleo Group recrute des Ingénieurs Mécanique sur Tanger,Expleo Group,Tanger,Automobile,Non spécifié,Non spécifié,4 ans,CATIA,Non specifié,Autonome,https://www.dreamjob.ma/emploi/expleo-group-recrute-des-ingenieurs-mecanique/
SEGULA Technologies recrute des Ingénieurs Mécanique Débutants,SEGULA Technologies,Agadir,"Automobile, Aéronautique, Ferroviaire, Naval, Énergie",Non spécifié,Bac+5,2 ans,"CAO, CATIA, DAO","Français, Anglais",Innovation,https://www.dreamjob.ma/emploi/segula-technologies-des-ingenieurs-mecanique-debutants/
Stage en électromécanique et poste de coursier à pourvoir chez Intersig Maroc,Non spécifié,Dar Bouazza,"Construction, Procédés",Stage,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Organisation, Rigueur",https://www.dreamjob.ma/emploi/stage-en-electromecanique-et-poste-de-coursier-a-pourvoir-chez-intersig-maroc/
SNCE recrute un Ingénieur Travaux et un Technicien GC,SNCE,Non spécifié,Non spécifié,CDI,"Bac+3, bac+5",2 à 5 ans,Non spécifié,Non specifié,"Organisation, Rigueur",https://www.dreamjob.ma/emploi/snce-recrute-un-ingenieur-travaux-et-un-technicien-gc/
First Plastics ouvre des opportunités en ingénierie commerciale,First Plastics,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Autonomie, Communication, Organisation, Rigueur",https://www.dreamjob.ma/emploi/first-plastics-ouvre-des-opportunites-en-ingenierie-commerciale/
Mint HR recrute un(e) Chargé(e) de Recrutement (CDI) – Casablanca,Mint HR,Casablanca,Non spécifié,CDI,"Bac+3, bac+5",Non spécifié,Non spécifié,Non specifié,"Autonomie, Communication, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/mint-hr-recrute-une-chargee-de-recrutement-cdi-casablanca/
Magasin d’Optique recrute une Vendeuse (Wifak Témara),Magasin d’Optique,Témara,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Autonome, Communication, Organisation, Organisé, Proactivité, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/optique-recrute-une-vendeuse-sur-wifak-temara/
"Solevio recrute des Vendeurs Conventionnels CHR (Cafés, Hôtels, Restaurants) (Casablanca)",Solevio,Casablanca,Agroalimentaire,Non spécifié,Bac+2,3 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/solevio-recrute-vendeurs-conventionnels-chr-casablanca/
Grande campagne de recrutement Calliope: plusieurs postes à saisir partout au Maroc,Non spécifié,Non spécifié,"Automobile, Logistique",Stage,"Bac+2, bac+3, bac+4, bac+5",3 à 5 ans,Excel,"Français, Anglais, Arabe","Autonomie, Communication, Créativité, Gestion de projet, Initiative, Innovation, Leadership, Organisation, Relationnel, Rigueur, Réactivité, Travailler en équipe",https://www.dreamjob.ma/emploi/grande-campagne-de-recrutement-calliope-plusieurs-postes-a-saisir-partout-au-maroc/
Recrutement d’un Responsable des Opérations (Rabat),Non spécifié,Rabat,Non spécifié,CDI,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/recrutement-dun-responsable-des-operations-rabat/
Juriste Junior,Non spécifié,Non spécifié,Non spécifié,CDI,Bac+5,Non spécifié,Non spécifié,"Français, Anglais","Communication, Organisation, Rigueur",https://www.dreamjob.ma/stage/minthr-recrute-juriste-junior-stage-casablanca/
ADM Value agrandit ses équipes à Rabat: découvrez nos offres en télévente et conseil,Non spécifié,Rabat,"Automobile, Énergie",CDI,Non spécifié,20 ans,Non spécifié,Français,"Autonomie, Communication, Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/adm-value-recrute-plusieurs-profils/
Fondation Arrawaj recrute Plusieurs Profils (Tout le Maroc),Fondation Arrawaj,Non spécifié,Non spécifié,CDI,Bac+3,30 ans,Non spécifié,Non specifié,"Autonomie, Communication, Initiative, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/fondation-arrawaj-recrute-plusieurs-profils-tout-le-maroc/
Société de Construction Routière recrute un Responsable Matériel BTP à Salé,Société de Construction Routière,Salé,"Btp, Construction, Logistique",Non spécifié,Bac+5,5 ans,Non spécifié,Non specifié,Organisation,https://www.dreamjob.ma/emploi/societe-de-construction-routiere-recrute-un-responsable-materiel-btp-a-sale/
Université Euromed de Fès recrute 16 nouveaux profils,Université Euromed de Fès,Fès,"Chimie, Recherche scientifique",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,Innovation,https://www.dreamjob.ma/emploi/universite-euromed-de-fes-recrute-16-nouveaux-profils/
Recrutement de Rédacteurs Web Freelance en Télétravail,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Français, Anglais",Flexibilité,https://www.dreamjob.ma/emploi/start-up-recrute-des-redacteurs-web-freelance-en-teletravail/
First Plastics recrute des Ingénieurs Commerciaux à Casablanca,First Plastics,Casablanca,Construction,CDI,Non spécifié,Non spécifié,Non spécifié,Non specifié,Rigueur,https://www.dreamjob.ma/emploi/first-plastics-recrute-des-ingenieurs-commerciaux-a-casablanca/
Ingénieurs maintenance recherchés chez SEBN Bouknadel,Non spécifié,Salé,Automobile,CDI,Non spécifié,5 ans,Automatisme,Non specifié,"Communication, Organisation, Résolution de problèmes, Travailler en équipe",https://www.dreamjob.ma/emploi/ingenieurs-maintenance-recherches-chez-sebn-bouknadel/
Opportunités chez Akkodis Maroc dans l’ingénierie automobile,Non spécifié,Non spécifié,Automobile,Non spécifié,Non spécifié,2 ans,"CAO, CATIA",Non specifié,"Autonomie, Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/opportunites-chez-akkodis-maroc-dans-lingenierie-automobile/
Offres d’emploi chez Capgemini Engineering en mécanique automobile,Non spécifié,Non spécifié,Automobile,Stage,Non spécifié,Non spécifié,Non spécifié,"Français, Anglais","Communication, Innovation, Organisation, Relationnel, Travailler en équipe",https://www.dreamjob.ma/emploi/offres-demploi-chez-capgemini-engineering-en-mecanique-automobile/
Ingénieurs recherchés par Stellantis à Kénitra,Non spécifié,Kénitra,"Automobile, Logistique",Non spécifié,Bac+5,3 à 5 ans,SAP,"Français, Anglais","Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/ingenieurs-recherches-par-stellantis-a-kenitra/
SEGULA recherche des ingénieurs et techniciens débutants,Non spécifié,Casablanca,"Automobile, Aéronautique, Ferroviaire, Énergie",Stage,"Bac+2, bac+5",Non spécifié,Non spécifié,Non specifié,"Communication, Innovation, Rigueur",https://www.dreamjob.ma/emploi/segula-recherche-des-ingenieurs-et-techniciens-debutants/
Opportunités chez MTA Morocco pour ingénieurs automobile,Non spécifié,Kénitra,"Automobile, Procédés",Non spécifié,Bac+5,2 ans,"Autocad, CAO, SAP, SOLIDWORKS",Non specifié,"Organisation, Rigueur",https://www.dreamjob.ma/emploi/opportunites-chez-mta-morocco-pour-ingenieurs-automobile/
Nouvelle opportunité chez Ciments du Maroc pour ingénieurs juniors,Non spécifié,Non spécifié,Construction,Stage,Non spécifié,0 à 2 ans,CAO,"Français, Anglais","Communication, Innovation, Résolution de problèmes, Travail en équipe",https://www.dreamjob.ma/emploi/nouvelle-opportunite-chez-ciments-du-maroc-pour-ingenieurs-juniors/
"Recrutement Procangr, ingénieurs en maintenance recherchés",Non spécifié,Khouribga,Procédés,Non spécifié,Non spécifié,Non spécifié,"Automatisme, Conception mécanique",Non specifié,"Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/recrutement-procangr-ingenieurs-en-maintenance-recherches/
Airbus Atlantic recrute Inspecteurs Qualité et Ingénieur PC&L,Airbus Atlantic,Casablanca,"Automobile, Aéronautique, Logistique",Non spécifié,Bac+2,3 ans,"Excel, SAP, VBA","Français, Anglais","Communication, Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/airbus-atlantic-recrute-inspecteurs-qualite-et-ingenieur-pcl/
Recrutement immédiat chez Robobat Maroc pour ingénieurs confirmés,Non spécifié,Casablanca,"Btp, Construction",CDI,Bac+5,Non spécifié,Modélisation,"Français, Anglais","Autonome, Communication, Organisation, Travail en équipe",https://www.dreamjob.ma/emploi/recrutement-immediat-chez-robobat-maroc-pour-ingenieurs-confirmes/
Procangr recrute des ingénieurs et techniciens à Khouribga et Benguerir,Procangr,Khouribga,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/procangr-recrute-des-ingenieurs-et-techniciens-a-khouribga-et-benguerir/
FEV North Africa recrute ingénieurs et techniciens en CDI,FEV North Africa,Casablanca,Automobile,CDI,Non spécifié,0 à 2 ans,Non spécifié,"Français, Anglais","Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/fev-north-africa-recrute-ingenieurs-et-techniciens-en-cdi/
