Titre du poste,Entreprise,Ville,Secteur d'activité,Contrat proposé,Niveau d'étude,Expérience,Compétences techniques,Langues,Soft skills,Lien de l'offre
Responsable SAV,Auto Hall,Casablanca,Automobile / Motos / Cycles,CDI,Bac +5,1 à 3 ans,Excel,Non spécifié,"Travail en équipe, innovation, initiative, flexibilité",https://www.rekrute.com/fr/offre-emploi-responsable-sav-recrutement-auto-hall-casablanca-184310.html
Ingénieur Installation Générale Senior,Capgemini Engineering,Casablanca,BTP / Génie Civil,CDI,Bac +5,3 à 5 ans,ERP,Anglais,"Communication, travailler en équipe, autonomie, rigueur, organisation, créativité, innovation, initiative, sens de l'organisation, esprit d'analyse",https://www.rekrute.com/fr/offre-emploi-ingenieur-installation-generale-senior-recrutement-capgemini-engineering-casablanca-184305.html
Directeur Technique,Confidentiel,Marrakech,Hôtellerie / Restauration,CDI,Bac +5,5 à 10 ans,Non spécifié,"Français, Anglais, Arabe","Travail en équipe, rigueur, organisation, leadership, flexibilité, réactivité",https://www.rekrute.com/fr/offre-emploi-directeur-technique-recrutement-confidentiel-marrakech-184275.html
Responsable Maintenance,Sedec,Témara,BTP / Génie Civil,CDI,Bac +5,5 à 10 ans,"GMAO, Automatisme",Non spécifié,"Organisation, leadership, gestion de projet, innovation, réactivité",https://www.rekrute.com/fr/offre-emploi-responsable-maintenance-recrutement-sedec-temara-184227.html
Facility Manager,Manpower Agences,Casablanca,Autres Industries,Intérim,Bac +5,5 à 10 ans,Excel,"Français, Anglais","Communication, rigueur, organisation, leadership, gestion de projet, innovation, résolution de problèmes, adaptabilité, relationnel",https://www.rekrute.com/fr/offre-emploi-facility-manager-recrutement-manpower-agences-casablanca-184150.html
Technicien centrale chaufferie,Confidentiel,Casablanca,Agroalimentaire,Non spécifié,Bac +2,0 an,Automatisme,Non spécifié,Non spécifié,https://www.rekrute.com/fr/offre-emploi-technicien-centrale-chaufferie-recrutement-confidentiel-casablanca-184064.html
Préparateur Maintenance – Maintenance Fixe,Aya Gold & Silver,Taliouine- askaoune,Extraction / Mines,CDI,Bac +2,3 à 5 ans,"GMAO, ERP, Excel","Français, Anglais","Rigueur, organisation, relationnel",https://www.rekrute.com/fr/offre-emploi-preparateur-maintenance-maintenance-fixe-recrutement-aya-gold-silver-taliouine--askaoune-184055.html
Technicien(ne) supérieur(e) - Secteur Hydraulique/Energétique,Manpower Agences,Casablanca,Energie,Non spécifié,Bac +3,1 à 3 ans,"ERP, Excel","Français, Anglais","Rigueur, organisation, innovation, adaptabilité",https://www.rekrute.com/fr/offre-emploi-technicienne-superieure---secteur-hydrauliqueenergetique-recrutement-manpower-agences-casablanca-183630.html
TECHNICIEN DE FABRICATION,Cosumar,Kénitra,Agroalimentaire,Non spécifié,Bac +3,0 an,Non spécifié,Non spécifié,"Travail en équipe, rigueur, organisation, innovation",https://www.rekrute.com/fr/offre-emploi-technicien-de-fabrication-recrutement-cosumar-kenitra-184011.html
Dessinateur projeteur,Confidentiel,Casablanca,Conseil / Etudes,CDI,Bac +2,1 à 3 ans,ERP,Non spécifié,"Communication, travail en équipe, autonomie, rigueur, organisation, leadership, innovation, adaptabilité, initiative",https://www.rekrute.com/fr/offre-emploi-dessinateur-projeteur-recrutement-confidentiel-casablanca-184009.html
Responsable Service (H/F),CAC (Centrale Automobile Chérifienne),Casablanca,Automobile / Motos / Cycles,CDI,Bac +5,5 à 10 ans,Non spécifié,Non spécifié,"Communication, rigueur, organisation, innovation, adaptabilité",https://www.rekrute.com/fr/offre-emploi-responsable-service-hf-recrutement-cac-centrale-automobile-cherifienne-casablanca-183976.html
Responsable Maintenance des Engins,Meski Invest - Riva Industries,El jadida,Métallurgie / Sidérurgie,CDI,Bac +5,5 à 10 ans,"GMAO, AMDEC, 5S",Non spécifié,"Communication, travail en équipe, rigueur, organisation, leadership, innovation, résolution de problèmes",https://www.rekrute.com/fr/offre-emploi-responsable-maintenance-des-engins-recrutement-meski-invest---riva-industries-el-jadida-183966.html
Business Analyst,Domino HR Morocco,Casablanca,Aéronautique / Spatial,CDI,Bac +5,5 à 10 ans,Excel,"Français, Anglais","Communication, autonomie, organisation, gestion de projet, initiative, réactivité",https://www.rekrute.com/fr/offre-emploi-business-analyst-recrutement-domino-hr-morocco-casablanca-183871.html
Gestionnaire Technique,Atlas Multiservices,Casablanca,Indifférent,CDI,Bac +3,3 à 5 ans,Non spécifié,Non spécifié,"Travailler en équipe, rigueur, organisation, organisé",https://www.rekrute.com/fr/offre-emploi-gestionnaire-technique-recrutement-atlas-multiservices-casablanca-183833.html
Leader Maintenance Générale,Confidentiel,Casablanca,Agroalimentaire,CDI,Bac +5,3 à 5 ans,Non spécifié,Non spécifié,"Travail en équipe, créativité, flexibilité",https://www.rekrute.com/fr/offre-emploi-leader-maintenance-generale-recrutement-confidentiel-casablanca-183758.html
Ingénieur Méthodes,HUIR - L'Hôpital Universitaire International de Rabat,Rabat,Pharmacie / Santé,CDI,Bac +5,1 à 3 ans,"GMAO, Excel",Non spécifié,"Rigueur, organisation, innovation, initiative",https://www.rekrute.com/fr/offre-emploi-ingenieur-methodes-recrutement-huir---lhopital-universitaire-international-de-rabat-rabat-183711.html
Technical Sales Engineer,SGS Maroc SA,Mohammédia,Pétrole / Gaz,CDI,Bac +5,3 à 5 ans,Excel,"Français, Anglais","Communication, esprit d'équipe, autonomie, autonome, organisation, innovation, relationnel",https://www.rekrute.com/fr/offre-emploi-technical-sales-engineer-recrutement-sgs-maroc-sa-mohammedia-183080.html
Ingénieur Production,Confidentiel,Meknès,Métallurgie / Sidérurgie,CDI,Bac +5,1 à 3 ans,"Lean, Lean manufacturing, Excel","Français, Anglais","Rigueur, organisation, innovation",https://www.rekrute.com/fr/offre-emploi-ingenieur-production-recrutement-confidentiel-meknes-183484.html
Responsable SAV Automobile,Super Auto Group,Rabat,Automobile / Motos / Cycles,CDI,Bac +5,3 à 5 ans,Excel,"Français, Anglais","Travail en équipe, organisation, leadership, innovation, initiative, flexibilité",https://www.rekrute.com/fr/offre-emploi-responsable-sav-automobile-recrutement-super-auto-group-rabat-183436.html
Agent méthodes Maintenance,Ciments du Maroc,Agadir,Electro-mécanique / Mécanique,CDI,Bac +3,3 à 5 ans,"SOLIDWORKS, Autocad, CAO, GMAO, SAP, ERP, Excel","Français, Anglais, Arabe","Travail en équipe, rigueur, organisation, innovation, résolution de problèmes, adaptabilité, relationnel, initiative",https://www.rekrute.com/fr/offre-emploi-agent-methodes-maintenance-recrutement-ciments-du-maroc-agadir-183351.html
Inspecteur,SGS Maroc SA,Nador,Extraction / Mines,CDI,Bac +3,3 à 5 ans,"ERP, Excel","Français, Anglais","Communication, travailler en équipe, rigueur, organisation, innovation, relationnel",https://www.rekrute.com/fr/offre-emploi-inspecteur-recrutement-sgs-maroc-sa-nador-183343.html
Ingénieur Travaux  F/H,VINCI Energies Afrique de l'Ouest,Casablanca,Energie,CDI,Bac +5,1 à 3 ans,Excel,Non spécifié,"Communication, communiquer, travail en équipe, travailler en équipe, autonomie, rigueur, gestion de projet",https://www.rekrute.com/fr/offre-emploi-ingenieur-travaux-fh-recrutement-vinci-energies-afrique-de-louest-casablanca-183217.html
Formateur Technique Automobile (H/F),Jameel Motors,Casablanca,Automobile / Motos / Cycles,CDI,Bac +2,3 à 5 ans,"ERP, Excel","Français, Anglais, Arabe","Communication, autonomie, organisation, innovation, sens de l'organisation",https://www.rekrute.com/fr/offre-emploi-formateur-technique-automobile-hf-recrutement-jameel-motors-casablanca-183096.html
